make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
Mercedes-Benz,6577482,A250,2014,52500,Automatic,113800.0,1991,5,Grey,211.0,350.0,50.0,10947.77608
Mercedes-Benz,6633813,C200,2015,62500,Automatic,145800.0,1991,5,White,186.0,300.0,66.0,12230.55372
Mercedes-Benz,6043600,S300L,2010,67500,Automatic,83800.0,2996,5,Silver,314.0,300.0,90.0,14363.588303999999
Nissan,6692615,Almera,2015,40000,Automatic,34800.0,1498,5,Unknown,102.0,139.0,41.0,11250.5625
Mercedes-Benz,6472605,E200 CGI,2013,102500,Automatic,109827.0,1796,5,White,184.0,270.0,80.0,13276.175112
BMW,6626722,330e,2016,97500,Automatic,139827.0,1998,5,Black,184.0,290.0,60.0,11989.828727
Toyota,6451122,Vios,2013,118000,Automatic,39827.0,1497,5,White,109.0,141.0,42.0,10672.6
Toyota,6597086,Vios,2010,97500,Automatic,28800.0,1497,5,Silver,109.0,141.0,42.0,10672.6
Perodua,6568624,Myvi,2016,67500,Automatic,37800.0,1495,5,White,103.0,136.0,40.0,9632.77425
Perodua,6525110,Myvi,2014,62500,Automatic,25800.0,1298,5,Silver,91.0,117.0,40.0,9492.24825
Perodua,6372287,Alza,2011,97500,Automatic,25800.0,1495,7,Blue,103.0,136.0,42.0,11546.5095
Nissan,6539311,Almera,2014,77500,Automatic,39827.0,1498,5,Black,102.0,139.0,41.0,11325.56625
Proton,6690370,Exora,2012,92500,Automatic,29000.0,1561,7,Red,140.0,205.0,55.0,14047.015248
MINI,6370596,3 Door,2017,10000,Automatic,148000.0,1998,4,Blue,192.0,280.0,44.0,9401.6153
Honda,6626734,Accord,2018,42500,Automatic,133827.0,1997,5,Silver,211.0,190.0,65.0,13375.08375
Perodua,6626730,Myvi,2012,87500,Automatic,27827.0,1298,5,White,91.0,117.0,40.0,9492.24825
Honda,6539321,CR-V,2011,137500,Automatic,49827.0,1997,5,White,150.0,190.0,58.0,13820.351999999999
Perodua,6603704,Myvi,2007,170000,Automatic,17800.0,1298,5,Black,87.0,116.0,40.0,9600.39
Proton,6603727,Ertiga,2017,50000,Automatic,39800.0,1373,6,White,92.0,130.0,45.0,12181.159875
Perodua,6603689,Alza,2010,180000,Automatic,27800.0,1495,7,White,103.0,136.0,42.0,11546.5095
Nissan,6603735,Almera,2014,100000,Automatic,34800.0,1498,5,Grey,102.0,139.0,41.0,11325.56625
Perodua,6603714,Myvi,2013,120000,Automatic,31800.0,1495,5,Yellow,103.0,136.0,40.0,9479.386125
Nissan,6603724,X-Trail,2015,85000,Automatic,74800.0,1997,7,Black,144.0,200.0,60.0,14482.832
Perodua,6603693,Myvi,2012,120000,Automatic,26800.0,1298,5,Purple,91.0,117.0,40.0,9492.24825
Honda,6603680,CR-Z,2012,150000,Automatic,44800.0,1496,4,White,124.0,167.0,40.0,9903.384
Nissan,6360662,Latio,2014,92500,Automatic,36800.0,1798,5,Black,126.0,174.0,52.0,11057.75625
Hyundai,6212828,Sonata,2011,97500,Automatic,35500.0,1998,5,White,166.0,197.0,70.0,13006.161294
Toyota,6598799,Hilux,2013,152500,Automatic,63800.0,2494,5,White,144.0,343.0,76.0,17856.385
Volkswagen,6589549,Golf,2012,77500,Automatic,43800.0,1395,5,Black,140.0,250.0,50.0,11114.68974
Kia,6368934,Cerato,2013,92500,Automatic,43800.0,1591,5,White,129.0,157.0,50.0,11728.776000000002
BMW,6637083,525i,2007,117500,Automatic,39800.0,2497,5,White,218.0,250.0,70.0,13118.761448000001
Honda,6653523,City,2017,32500,Automatic,65800.0,1497,5,Grey,120.0,145.0,40.0,11115.6066
Toyota,6416625,Alphard,2007,132500,Automatic,58800.0,2362,7,Silver,159.0,220.0,70.0,16904.547
Subaru,6404435,XV,2015,77500,Automatic,59800.0,1995,5,Silver,150.0,196.0,60.0,12792.415
Nissan,6413152,Grand Livina,2011,112500,Automatic,35500.0,1798,7,Grey,126.0,174.0,52.0,11876.982
Chevrolet,6635769,Cruze,2011,112500,Automatic,23800.0,1796,5,Black,141.0,176.0,60.0,12140.106972
Perodua,6648866,Myvi,2013,82500,Automatic,28800.0,1298,5,Black,91.0,117.0,40.0,9492.24825
Toyota,6618115,Vellfire,2008,97500,Automatic,89800.0,3456,7,Grey,280.0,344.0,65.0,16843.869
Toyota,6652398,Vios,2005,102500,Automatic,19800.0,1496,5,Purple,109.0,142.0,45.0,10422.512625
Toyota,6650413,Vellfire,2008,97500,Automatic,89800.0,3456,7,Black,280.0,344.0,65.0,16843.869
Perodua,6651949,Myvi,2015,72500,Automatic,35800.0,1495,5,Blue,103.0,136.0,40.0,9632.77425
Honda,6649174,CR-V,2015,82500,Automatic,79800.0,1997,5,White,155.0,190.0,58.0,14076.153
Ford,6636676,Ranger,2014,82500,Automatic,53800.0,2198,5,Silver,150.0,375.0,80.0,17994.18225
Honda,6650087,City,2014,82500,Automatic,46800.0,1497,5,Blue,120.0,145.0,40.0,11115.6066
Toyota,6590062,Estima,2012,92500,Automatic,118800.0,2362,7,Blue,170.0,223.0,65.0,15061.095
Honda,6583553,CR-V,2015,77500,Automatic,79800.0,1997,5,Grey,155.0,190.0,58.0,14076.153
Honda,6569535,City,2010,92500,Automatic,31800.0,1497,5,White,120.0,145.0,42.0,10950.80175
Proton,6581671,Saga,2017,62500,Manual,20800.0,1332,5,White,95.0,120.0,40.0,10906.752969
Toyota,6520344,Vios,2014,82500,Automatic,45800.0,1497,5,Brown,109.0,141.0,42.0,11058.075
Nissan,6507724,X-Trail,2015,67500,Automatic,70800.0,1997,7,Silver,144.0,200.0,60.0,14482.832
Perodua,6531777,Alza,2015,57500,Automatic,39800.0,1495,7,White,103.0,136.0,42.0,11724.993
Toyota,6488498,Vios,2014,82500,Automatic,52800.0,1497,5,White,109.0,141.0,42.0,11058.075
Toyota,6509851,Vios,2011,82500,Automatic,37800.0,1497,5,Grey,109.0,141.0,42.0,10672.6
Toyota,6333548,Hilux,2015,82500,Automatic,66800.0,2494,5,White,144.0,343.0,76.0,17856.385
Nissan,6203866,Grand Livina,2009,87500,Automatic,25800.0,1798,7,Beige,126.0,174.0,52.0,11876.982
Toyota,6162530,Vios,2014,72500,Automatic,47800.0,1497,5,Brown,109.0,141.0,42.0,11058.075
Perodua,6541666,Alza,2016,67500,Automatic,41800.0,1495,7,Red,103.0,136.0,42.0,11724.993
Perodua,6561561,Myvi,2014,82500,Automatic,28800.0,1298,5,Orange,91.0,117.0,40.0,9492.24825
Nissan,6541641,Almera,2016,42500,Automatic,37800.0,1498,5,White,102.0,139.0,41.0,11250.5625
Mercedes-Benz,6563409,C250 CGI,2012,82500,Automatic,86800.0,1796,5,Gold,204.0,310.0,66.0,11758.42329
Nissan,6563108,Almera,2014,82500,Automatic,30800.0,1498,5,Grey,102.0,139.0,41.0,11325.56625
Perodua,6561601,Myvi,2013,82500,Automatic,29800.0,1495,5,White,103.0,136.0,40.0,9479.386125
Proton,6561651,Preve,2013,82500,Automatic,25800.0,1561,5,Red,140.0,205.0,50.0,12365.428152
Perodua,6202222,Myvi,2009,82500,Manual,11800.0,1298,5,Grey,87.0,116.0,40.0,9677.8125
Nissan,6279057,X-Trail,2015,72500,Automatic,70800.0,2488,7,Black,171.0,233.0,60.0,14482.832
Toyota,6204398,Vios,2014,82500,Automatic,47800.0,1497,5,Silver,109.0,141.0,42.0,11058.075
Perodua,6229620,Myvi,2007,92500,Automatic,14800.0,1298,5,Red,87.0,116.0,40.0,9600.39
Perodua,6374410,Myvi,2015,82500,Automatic,34800.0,1495,5,White,103.0,136.0,40.0,9632.77425
Perodua,6367563,Myvi,2017,57500,Automatic,36800.0,1495,5,Blue,103.0,136.0,40.0,9632.77425
Perodua,6366596,Myvi,2015,82500,Automatic,36800.0,1495,5,White,103.0,136.0,40.0,9632.77425
Perodua,6413045,Myvi,2013,82500,Manual,24800.0,1495,5,White,103.0,136.0,40.0,9479.386125
Nissan,6460390,Almera,2015,82500,Automatic,34800.0,1498,5,White,102.0,139.0,41.0,11250.5625
